prs,sp_name,linkage_name,temp_file
untouched,"__cxx_global_var_init.1",,wc.C
untouched,"",_GLOBAL__sub_I_wc.C,wc.C
both,"~timer",_ZN5timerD2Ev,./common/get_time.h
defef,"wordCounts",_Z10wordCountsRKN6parlay8sequenceIcNS_9allocatorIcEELb1EEEb,wc.C
both,"get_default_allocator",_ZN6parlay8internal21get_default_allocatorEv,./parlay/internal/../alloc.h
both,"allocate",_ZN6parlay8internal14pool_allocator8allocateEm,./parlay/internal/pool_allocator.h
both,"free_buffer",_ZN6parlay17sequence_internal13sequence_baseIcNS_9allocatorIcEELb1EE12storage_impl18capacitated_buffer11free_bufferERNS2_ISt4byteEE,./parlay/internal/sequence_base.h
defef,"parallel_for<(lambda at ./parlay/sequence.h:515:24)>",_ZN6parlay12parallel_forIZNS_8sequenceIcNS_9allocatorIcEELb1EEC1IZ10wordCountsRKS4_bE3$_0EEmOT_NS4_18_from_function_tagEmEUlmE_EEvmmS9_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"next",_ZN5timer4nextENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,./common/get_time.h
defef,"free_buffer",_ZN6parlay17sequence_internal13sequence_baseISt4pairIllENS_9allocatorIS3_EELb0EE12storage_impl18capacitated_buffer11free_bufferERNS4_ISt4byteEE,./parlay/internal/sequence_base.h
defef,"parallel_for<(lambda at ./parlay/sequence.h:515:24)>",_ZN6parlay12parallel_forIZNS_8sequenceISt4pairIllENS_9allocatorIS3_EELb0EEC1IZNS_8internal7delayed20block_delayed_scan_tIRNS_16delayed_sequenceIS3_S3_ZNS_10map_tokensIRNS1_IcNS4_IcEELb1EEERZ10wordCountsRKSE_bE3$_1Z10wordCountsSH_bE3$_2EEDaOT_OT0_OT1_EUlmE1_EELb0EZNSC_ISF_SJ_SK_EEDaSM_SO_SQ_EUlS3_S3_E_S3_EC1IST_EESM_SU_S3_EUlmE_EEmSM_NS6_18_from_function_tagEmEUlmE_EEvmmSL_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"uninitialized",_ZN6parlay8sequenceISt4pairIllENS_9allocatorIS2_EELb0EE13uninitializedEm,./parlay/sequence.h
defef,"parallel_for<(lambda at ./parlay/internal/delayed/../sequence_ops.h:168:15)>",_ZN6parlay12parallel_forIZNS_8internal10sliced_forIZNS1_5scan_INS_5sliceIPSt4pairIllES7_EES8_NS_6monoidIZNS_10map_tokensIRNS_8sequenceIcNS_9allocatorIcEELb1EEERZ10wordCountsRKSE_bE3$_1Z10wordCountsSH_bE3$_2EEDaOT_OT0_OT1_EUlS6_S6_E_S6_vEEEEDaRKSL_SN_SQ_jbEUlmmmE_EEvmmSU_jEUlmE_EEvmmSL_lb,./parlay/internal/scheduler_plugins/opencilk.h
defef,"parallel_for<(lambda at ./parlay/internal/delayed/../sequence_ops.h:168:15)>",_ZN6parlay12parallel_forIZNS_8internal10sliced_forIZNS1_5scan_INS_5sliceIPSt4pairIllES7_EES8_NS_6monoidIZNS_10map_tokensIRNS_8sequenceIcNS_9allocatorIcEELb1EEERZ10wordCountsRKSE_bE3$_1Z10wordCountsSH_bE3$_2EEDaOT_OT0_OT1_EUlS6_S6_E_S6_vEEEEDaRKSL_SN_SQ_jbEUlmmmE0_EEvmmSU_jEUlmE_EEvmmSL_lb,./parlay/internal/scheduler_plugins/opencilk.h
